Epoch 135 | Mean reward: -0.011069 | Sharpe: -4.34 | MDD: 19.49% | Turnover: 0.5756 | Entropy: 0.0212 | Policy loss: -0.000062 | Value loss: 217.573883
Epoch 136 | Mean reward: -0.012820 | Sharpe: -4.91 | MDD: 21.11% | Turnover: 0.5653 | Entropy: 0.0213 | Policy loss: -0.000032 | Value loss: 465.144836
Epoch 137 | Mean reward: -0.016477 | Sharpe: -6.34 | MDD: 26.42% | Turnover: 0.5756 | Entropy: 0.0256 | Policy loss: 0.000132 | Value loss: 887.333801
Epoch 138 | Mean reward: -0.011348 | Sharpe: -4.27 | MDD: 17.95% | Turnover: 0.5668 | Entropy: 0.0208 | Policy loss: -0.000032 | Value loss: 1256.700928
Epoch 139 | Mean reward: -0.006799 | Sharpe: -2.18 | MDD: 14.07% | Turnover: 0.5572 | Entropy: 0.0161 | Policy loss: 0.000028 | Value loss: 1325.896362
Epoch 140 | Mean reward: -0.008561 | Sharpe: -3.11 | MDD: 17.00% | Turnover: 0.5689 | Entropy: 0.0228 | Policy loss: 0.000022 | Value loss: 1140.965820
Epoch 141 | Mean reward: -0.009081 | Sharpe: -3.51 | MDD: 16.03% | Turnover: 0.5583 | Entropy: 0.0263 | Policy loss: -0.000146 | Value loss: 838.754883
Epoch 142 | Mean reward: -0.016891 | Sharpe: -7.12 | MDD: 27.62% | Turnover: 0.5673 | Entropy: 0.0229 | Policy loss: -0.000145 | Value loss: 537.343994
Epoch 143 | Mean reward: -0.011122 | Sharpe: -4.13 | MDD: 20.49% | Turnover: 0.5616 | Entropy: 0.0230 | Policy loss: 0.000033 | Value loss: 296.403625
Epoch 144 | Mean reward: -0.006879 | Sharpe: -2.25 | MDD: 19.14% | Turnover: 0.5787 | Entropy: 0.0217 | Policy loss: -0.000193 | Value loss: 137.831818
Epoch 145 | Mean reward: -0.015186 | Sharpe: -5.36 | MDD: 25.35% | Turnover: 0.5698 | Entropy: 0.0233 | Policy loss: 0.000109 | Value loss: 49.488564
Epoch 146 | Mean reward: -0.013027 | Sharpe: -5.45 | MDD: 21.04% | Turnover: 0.5672 | Entropy: 0.0230 | Policy loss: 0.000083 | Value loss: 10.739522
Epoch 147 | Mean reward: -0.009020 | Sharpe: -3.22 | MDD: 17.89% | Turnover: 0.5609 | Entropy: 0.0225 | Policy loss: -0.000126 | Value loss: 2.343001
Epoch 148 | Mean reward: -0.010820 | Sharpe: -5.03 | MDD: 18.74% | Turnover: 0.5739 | Entropy: 0.0225 | Policy loss: -0.000089 | Value loss: 2.022752
